date,claim_id,source,stance,modality,m_bella,m_vanilla,m_majority,Lambda_bella,rep_Raoult_IHU,rep_Zelenko,rep_Trump,rep_Henry_Ford_Health,rep_NIH_COVID_Panel,rep_FDA,rep_Magagnoli_VA,rep_Mehra_Lancet,rep_Lancet,rep_RECOVERY_trial,rep_WHO_Solidarity,rep_Cavalcanti_Brazil,rep_Cochrane
2020-03-16,H01,Raoult_IHU,supports,small_trial,0.6,0.6667,1.0,0.4055,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2020-03-19,H02,Trump,supports,amplification,0.6139,0.8,1.0,0.4637,0.6,0.5,0.5146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2020-03-28,H03,FDA,supports,regulatory_action,0.7453,0.8889,1.0,1.0735,0.6,0.5,0.5146,0.5,0.5,0.6479,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2020-03-30,H04,Zelenko,supports,case_series,0.7724,0.9412,1.0,1.2219,0.6,0.537,0.5146,0.5,0.5,0.6479,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2020-04-10,H05,NIH_COVID_Panel,counters,guideline,0.4469,0.8889,0.8,-0.2132,0.6,0.537,0.5146,0.5,0.1923,0.6479,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2020-04-21,H06,Magagnoli_VA,counters,observational_study,0.2144,0.8,0.6667,-1.2984,0.6,0.537,0.5146,0.5,0.1923,0.6479,0.2525,0.5,0.5,0.5,0.5,0.5,0.5
2020-04-24,H07,FDA,counters,guideline,0.0648,0.6667,0.5714,-2.6692,0.6,0.537,0.5146,0.5,0.1923,0.3184,0.2525,0.5,0.5,0.5,0.5,0.5,0.5
2020-05-22,H08,Mehra_Lancet,counters,observational_study,0.0139,0.5,0.5,-4.2625,0.6,0.537,0.5146,0.5,0.1923,0.3184,0.2525,0.1689,0.5,0.5,0.5,0.5,0.5
2020-06-04,H09,Lancet,neutral,retraction,0.0139,0.5,0.5,-4.2625,0.6,0.537,0.5146,0.5,0.1923,0.3184,0.2525,0.1689,0.5,0.5,0.5,0.5,0.5
2020-06-05,H10,RECOVERY_trial,counters,randomized_trial,0.0011,0.3333,0.4444,-6.8066,0.6,0.537,0.5146,0.5,0.1923,0.3184,0.2525,0.1689,0.5,0.0728,0.5,0.5,0.5
2020-06-15,H11,FDA,counters,revocation,0.0002,0.2,0.4,-8.6477,0.6,0.537,0.5146,0.5,0.1923,0.1128,0.2525,0.1689,0.5,0.0728,0.5,0.5,0.5
2020-07-02,H12,Henry_Ford_Health,supports,observational_study,0.0004,0.3333,0.4545,-7.9299,0.6,0.537,0.5146,0.6721,0.1923,0.1128,0.2525,0.1689,0.5,0.0728,0.5,0.5,0.5
2020-10-15,H13,WHO_Solidarity,counters,randomized_trial,0.0,0.2,0.4167,-10.5425,0.6,0.537,0.5146,0.6721,0.1923,0.1128,0.2525,0.1689,0.5,0.0728,0.0683,0.5,0.5
2020-11-16,H14,Cavalcanti_Brazil,counters,randomized_trial,0.0,0.1111,0.3846,-12.7053,0.6,0.537,0.5146,0.6721,0.1923,0.1128,0.2525,0.1689,0.5,0.0728,0.0683,0.1031,0.5
2021-02-15,H15,Cochrane,counters,systematic_review,0.0,0.0588,0.3571,-15.5473,0.6,0.537,0.5146,0.6721,0.1923,0.1128,0.2525,0.1689,0.5,0.0728,0.0683,0.1031,0.0551
2021-03-15,H16,Raoult_IHU,supports,continued_advocacy,0.0,0.1111,0.4,-15.499,0.6115,0.537,0.5146,0.6721,0.1923,0.1128,0.2525,0.1689,0.5,0.0728,0.0683,0.1031,0.0551
