date,claim_id,source,stance,modality,m_bella,m_vanilla,m_majority,Lambda_bella,rep_Carreyrou_WSJ,rep_Shultz,rep_Fuisz,rep_Walgreens,rep_Fortune_Parloff,rep_Theranos_PR,rep_Holmes,rep_FDA,rep_CMS,rep_SEC
2013-09-09,T01,Walgreens,counters,endorsement,0.4237,0.3333,0.0,-0.3075,0.5,0.5,0.5,0.4237,0.5,0.5,0.5,0.5,0.5,0.5
2014-04-01,T04,Shultz,supports,reported,0.575,0.5,0.5,0.3023,0.5,0.6479,0.5,0.4237,0.5,0.5,0.5,0.5,0.5,0.5
2014-06-12,T02,Fortune_Parloff,counters,profile,0.496,0.3333,0.3333,-0.0162,0.5,0.6479,0.5,0.4237,0.4211,0.5,0.5,0.5,0.5,0.5
2014-08-01,T03,Fuisz,supports,allegation,0.575,0.5,0.5,0.3023,0.5,0.6479,0.5789,0.4237,0.4211,0.5,0.5,0.5,0.5,0.5
2014-09-01,T05,Theranos_PR,counters,official_denial,0.5471,0.3333,0.4,0.189,0.5,0.6479,0.5789,0.4237,0.4211,0.4717,0.5,0.5,0.5,0.5
2015-10-15,T06,Carreyrou_WSJ,supports,investigative_journalism,0.871,0.5,0.5,1.9099,0.8483,0.6479,0.5789,0.4237,0.4211,0.4717,0.5,0.5,0.5,0.5
2015-10-21,T07,Holmes,counters,official_denial,0.8386,0.3333,0.4286,1.6476,0.8483,0.6479,0.5789,0.4237,0.4211,0.4717,0.4348,0.5,0.5,0.5
2015-10-30,T08,Walgreens,neutral,action,0.8386,0.3333,0.4286,1.6476,0.8483,0.6479,0.5789,0.4237,0.4211,0.4717,0.4348,0.5,0.5,0.5
2015-11-10,T09,Carreyrou_WSJ,supports,documented_evidence,0.9751,0.5,0.5,3.6694,0.9769,0.6479,0.5789,0.4237,0.4211,0.4717,0.4348,0.5,0.5,0.5
2016-01-25,T10,FDA,supports,regulatory_finding,0.9964,0.6667,0.5556,5.6132,0.9769,0.6479,0.5789,0.4237,0.4211,0.4717,0.4348,0.8748,0.5,0.5
2016-03-31,T11,FDA,supports,regulatory_finding,0.9997,0.8,0.6,8.0624,0.9769,0.6479,0.5789,0.4237,0.4211,0.4717,0.4348,0.9878,0.5,0.5
2016-07-07,T12,CMS,supports,regulatory_finding,1.0,0.8889,0.6364,10.4047,0.9769,0.6479,0.5789,0.4237,0.4211,0.4717,0.4348,0.9878,0.9123,0.5
2016-10-05,T13,Theranos_PR,supports,retraction,1.0,0.9412,0.6667,12.8912,0.9769,0.6479,0.5789,0.4237,0.4211,0.9148,0.4348,0.9878,0.9123,0.5
2017-06-12,T14,Walgreens,supports,action,1.0,0.9697,0.6923,13.9113,0.9769,0.6479,0.5789,0.602,0.4211,0.9148,0.4348,0.9878,0.9123,0.5
2018-03-14,T15,SEC,supports,fraud_charge,1.0,0.9846,0.7143,16.7051,0.9769,0.6479,0.5789,0.602,0.4211,0.9148,0.4348,0.9878,0.9123,0.9423
2018-06-15,T16,DOJ,supports,fraud_charge,1.0,0.9922,0.7333,19.6036,0.9769,0.6479,0.5789,0.602,0.4211,0.9148,0.4348,0.9878,0.9123,0.9423
2018-09-05,T17,Theranos_PR,supports,dissolution,1.0,0.9961,0.75,23.3419,0.9769,0.6479,0.5789,0.602,0.4211,0.9934,0.4348,0.9878,0.9123,0.9423
