date,claim_id,source,stance,modality,m_bella,m_vanilla,m_majority,Lambda_bella,rep_Wakefield,rep_Daily_Mail,rep_Deer_Sunday_Times,rep_BMJ_Deer,rep_Madsen_Denmark,rep_Honda_Japan,rep_Smeeth_UK,rep_Taylor_MetaAnalysis,rep_Lancet,rep_Lancet_co_authors,rep_GMC_UK,rep_MRC_UK
1998-02-28,W01,Wakefield,counters,journal_publication,0.2717,0.3333,0.0,-0.9858,0.2717,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1998-03-01,W02,Daily_Mail,counters,amplification,0.2568,0.2,0.0,-1.0628,0.2717,0.4808,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1999-06-01,W03,MRC_UK,supports,guideline,0.4228,0.3333,0.3333,-0.3114,0.2717,0.4808,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6795
2002-11-07,W04,Madsen_Denmark,supports,population_study,0.8365,0.5,0.5,1.6324,0.2717,0.4808,0.5,0.5,0.8748,0.5,0.5,0.5,0.5,0.5,0.5,0.6795
2004-02-22,W05,Deer_Sunday_Times,supports,investigative_journalism,0.9593,0.6667,0.6,3.1612,0.2717,0.4808,0.8218,0.5,0.8748,0.5,0.5,0.5,0.5,0.5,0.5,0.6795
2004-03-06,W06,Lancet_co_authors,supports,retraction_of_interpretation,0.9944,0.8,0.6667,5.1734,0.2717,0.4808,0.8218,0.5,0.8748,0.5,0.5,0.5,0.5,0.8821,0.5,0.6795
2005-03-03,W07,Honda_Japan,supports,population_study,0.999,0.8889,0.7143,6.9416,0.2717,0.4808,0.8218,0.5,0.8748,0.8542,0.5,0.5,0.5,0.8821,0.5,0.6795
2006-04-01,W08,Wakefield,counters,continued_advocacy,0.999,0.8,0.625,6.8963,0.2629,0.4808,0.8218,0.5,0.8748,0.8542,0.5,0.5,0.5,0.8821,0.5,0.6795
2007-07-01,W09,GMC_UK,supports,criminal_complaint,0.9997,0.8889,0.6667,8.0719,0.2629,0.4808,0.8218,0.5,0.8748,0.8542,0.5,0.5,0.5,0.8821,0.7642,0.6795
2008-05-02,W10,Smeeth_UK,supports,population_study,0.9999,0.9412,0.7,9.84,0.2629,0.4808,0.8218,0.5,0.8748,0.8542,0.8542,0.5,0.5,0.8821,0.7642,0.6795
2010-01-28,W11,GMC_UK,supports,regulatory_finding,1.0,0.9697,0.7273,12.4464,0.2629,0.4808,0.8218,0.5,0.8748,0.8542,0.8542,0.5,0.5,0.8821,0.9777,0.6795
2010-02-02,W12,Lancet,supports,full_retraction,1.0,0.9846,0.75,15.059,0.2629,0.4808,0.8218,0.5,0.8748,0.8542,0.8542,0.5,0.9317,0.8821,0.9777,0.6795
2010-05-24,W13,GMC_UK,supports,license_revocation,1.0,0.9922,0.7692,18.429,0.2629,0.4808,0.8218,0.5,0.8748,0.8542,0.8542,0.5,0.9317,0.8821,0.9979,0.6795
2011-01-05,W14,BMJ_Deer,supports,documented_evidence,1.0,0.9961,0.7857,20.5917,0.2629,0.4808,0.8218,0.8969,0.8748,0.8542,0.8542,0.5,0.9317,0.8821,0.9979,0.6795
2014-10-15,W15,Taylor_MetaAnalysis,supports,meta_analysis,1.0,0.9981,0.8,23.252,0.2629,0.4808,0.8218,0.8969,0.8748,0.8542,0.8542,0.9346,0.9317,0.8821,0.9979,0.6795
